Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
6,Massariol F.C.,"Conservation of mayflies (Insecta, Ephemeroptera) in Espírito Santo, southeastern Brazil",2014,Revista Brasileira De Entomologia,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84923191645&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923191645&origin=inward,,2026-04-12 18:29:38,Article,10.1590/S0085-56262014000400002,00855626,https://api.elsevier.com/content/abstract/scopus_id/84923191645,58,4,,,,0.55,6.0,1,11,,,,84923191645,2-s2.0-84923191645
21,Vilenica M.,"The mayfly fauna (Insecta, ephemeroptera) of the plitvice lakes national park, Croatia",2014,Natura Croatica,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84922008046&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84922008046&origin=inward,,2026-04-12 18:29:38,Article,,13300520,https://api.elsevier.com/content/abstract/scopus_id/84922008046,23,2,,,,1.91,21.0,1,11,,,,84922008046,2-s2.0-84922008046
7,Macías N.,Do omnivorous shrimp influence mayfly nymph life history traits in a tropical island stream?,2014,Revista De Biologia Tropical,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907381061&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907381061&origin=inward,,2026-04-12 18:29:38,Article,10.15517/rbt.v62i0.15777,00347744,https://api.elsevier.com/content/abstract/scopus_id/84907381061,62,,,,,0.64,7.0,1,11,,,,84907381061,2-s2.0-84907381061
14,Liarte S.,"Histological effects and localization of dissolved microcystins LR and LW in the mayfly Ecdyonurus angelieri Thomas (Insecta, Ephemeroptera)",2014,Toxicon,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907513677&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907513677&origin=inward,,2026-04-12 18:29:38,Article,10.1016/j.toxicon.2014.09.008,00410101,https://api.elsevier.com/content/abstract/scopus_id/84907513677,92,,,,,1.27,14.0,1,11,,,,84907513677,2-s2.0-84907513677
8,Schloesser D.,A 200year chronology of burrowing mayflies (Hexagenia spp.) in Saginaw Bay,2014,Journal of Great Lakes Research,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84895857431&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84895857431&origin=inward,,2026-04-12 18:29:38,Article,10.1016/j.jglr.2013.12.016,03801330,https://api.elsevier.com/content/abstract/scopus_id/84895857431,40,1,,,,0.73,8.0,1,11,,,,84895857431,2-s2.0-84895857431
26,Li D.,The phylogeny of Ephemeroptera in Pterygota revealed by the mitochondrial genome of Siphluriscus chinensis (Hexapoda: Insecta),2014,Gene,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84901202022&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901202022&origin=inward,,2026-04-12 18:29:38,Article,10.1016/j.gene.2014.04.059,03781119,https://api.elsevier.com/content/abstract/scopus_id/84901202022,545,1,,,,2.36,26.0,1,11,,,,84901202022,2-s2.0-84901202022
22,Salles F.F.,Discovery of an alien species of mayfly in South America (Ephemeroptera),2014,Zookeys,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84898732481&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84898732481&origin=inward,,2026-04-12 18:29:38,Article,10.3897/zookeys.399.6680,13132989,https://api.elsevier.com/content/abstract/scopus_id/84898732481,399,,,,,2.0,22.0,1,11,,,,84898732481,2-s2.0-84898732481
21,Stoyanova T.,"Ephemeroptera, plecoptera and trichoptera as indicators for ecological quality of the Luda Reka River, Southwest Bulgaria",2014,Acta Zoologica Bulgarica,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84903732607&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84903732607&origin=inward,,2026-04-12 18:29:38,Article,,03240770,https://api.elsevier.com/content/abstract/scopus_id/84903732607,66,2,,,,1.91,21.0,1,11,,,,84903732607,2-s2.0-84903732607
20,Siegloch A.E.,Effect of land use on mayfly assemblages structure in neotropical headwater streams,2014,Anais Da Academia Brasileira De Ciencias,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84920989025&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84920989025&origin=inward,,2026-04-12 18:29:38,Article,10.1590/0001-3765201420130516,00013765,https://api.elsevier.com/content/abstract/scopus_id/84920989025,86,4,,,,1.82,20.0,1,11,,,,84920989025,2-s2.0-84920989025
0,Brunk K.,"Burrowing mayfly populations in Chequamegon Bay, Wisconsin: 2002 and 2012",2014,Journal of Freshwater Ecology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84901193220&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901193220&origin=inward,,2026-04-12 18:29:38,Article,10.1080/02705060.2014.896294,02705060,https://api.elsevier.com/content/abstract/scopus_id/84901193220,29,3,,,,0.0,0.0,1,11,,,,84901193220,2-s2.0-84901193220
