Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
0,Sukatsheva I.D.,"New Caddisflies (Insecta: Trichoptera, Baissoferidae) from the Lower Cretaceous Locality of Shar-Tologoy, Mongolia",2025,Paleontological Journal,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105018809842&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105018809842&origin=inward,,2026-01-16 11:27:45,Article,10.1134/S003103012560043X,00310301,https://api.elsevier.com/content/abstract/scopus_id/105018809842,59,4,,,,0,0.0,1,0,,,,105018809842,2-s2.0-105018809842
1,Chakrovorty A.,Structure and morphology of antennal and palpal sensilla of adult long-horned caddisfly species Triplectides indicus (Walker 1852) (Insecta: Trichoptera: Leptoceridae): a scanning electron microscopy study,2025,Zoomorphology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001637105&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105001637105&origin=inward,,2026-01-16 11:27:45,Article,10.1007/s00435-025-00716-4,0720213X,https://api.elsevier.com/content/abstract/scopus_id/105001637105,144,2,,,,1,1.0,1,0,,,,105001637105,2-s2.0-105001637105
0,Ibrahimi H.,"New distributional records of caddisflies (Insecta: Trichoptera) from Kosovo with the first record of Hydroptila vectis Curtis, 1834",2025,Journal of the Entomological Research Society,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002134382&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105002134382&origin=inward,,2026-01-16 11:27:45,Article,10.51963/jers.v27i1.2807,13020250,https://api.elsevier.com/content/abstract/scopus_id/105002134382,27,1,,,,0,0.0,1,0,,,,105002134382,2-s2.0-105002134382
0,Haack R.A.,"Nocturnal Flight Periodicity of caddisflies (Trichoptera) Along the Lake Huron Shoreline of Drummond Island, Michigan (USA)",2025,Great Lakes Entomologist,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024434424&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105024434424&origin=inward,,2026-01-16 11:27:45,Article,10.22543/0090-0222.2509,00900222,https://api.elsevier.com/content/abstract/scopus_id/105024434424,58,1,,,,0,0.0,1,0,,,,105024434424,2-s2.0-105024434424
0,Pfister H.,Caddisfly larvae (Trichoptera: Limnephilidae) facilitate the uptake of microplastics by a freshwater fish (Ameiurus nebulosus),2025,Environmental Pollution,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017122067&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105017122067&origin=inward,,2026-01-16 11:27:45,Article,10.1016/j.envpol.2025.127133,02697491,https://api.elsevier.com/content/abstract/scopus_id/105017122067,385,,,,,0,0.0,1,0,,,,105017122067,2-s2.0-105017122067
1,Frandsen P.B.,"Trichoptera systematics: Past, present, and future - Making the case for continued caddisfly taxonomic research",2025,Insect Systematics and Diversity,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009931061&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105009931061&origin=inward,,2026-01-16 11:27:45,Review,10.1093/isd/ixaf023,,https://api.elsevier.com/content/abstract/scopus_id/105009931061,9,3,,,,1,1.0,1,0,,,,105009931061,2-s2.0-105009931061
0,Vučković I.,The impact of human activities on composition and distribution of caddisfly larval communities (Insecta: Trichoptera) in the Mediterranean karst river system on the eastern Adriatic coast,2025,Ecologica Montenegrina,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003095294&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105003095294&origin=inward,,2026-01-16 11:27:45,Article,10.37828/em.2025.84.8,23370173,https://api.elsevier.com/content/abstract/scopus_id/105003095294,84,,,,,0,0.0,1,0,,,,105003095294,2-s2.0-105003095294
0,Vilarino A.,"The caddisflies (Insecta: Trichoptera) from the Estação Biológica de Boraceia, São Paulo state, Southeastern Brazil: checklist and new records",2025,Papeis Avulsos De Zoologia,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105007210155&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105007210155&origin=inward,,2026-01-16 11:27:45,Article,10.11606/1807-0205/2025.65.special-issue-1.05,00311049,https://api.elsevier.com/content/abstract/scopus_id/105007210155,65,Special Issue,,,,0,0.0,1,0,,,,105007210155,2-s2.0-105007210155
1,Deng X.,De Novo Whole Genome Assemblies of Unusual Case-Making Caddisflies (Trichoptera) Highlight Genomic Convergence in the Composition of the Major Silk Gene (h-fibroin),2025,Journal of Experimental Zoology Part B Molecular and Developmental Evolution,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105005450689&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105005450689&origin=inward,,2026-01-16 11:27:45,Article,10.1002/jez.b.23301,15525007,https://api.elsevier.com/content/abstract/scopus_id/105005450689,344,7,,,,1,1.0,1,0,,,,105005450689,2-s2.0-105005450689
0,Frandsen P.B.,The early evolution of caddisflies: Milne and Milne revisited,2025,Zookeys,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024968599&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105024968599&origin=inward,,2026-01-16 11:27:45,Conference Paper,10.3897/zookeys.1263.148088,13132989,https://api.elsevier.com/content/abstract/scopus_id/105024968599,,1263,,,,0,0.0,1,0,,,,105024968599,2-s2.0-105024968599
