Year,Applied Ecology,Biomonitoring/Water Quality,Conservation,Ecology/Behavior,Evolution/Phylogeny,Materials Science (Silk),Not Specified,Other,Physiology,Taxonomy/Systematics
2010,0.0,21.333333333333336,0.0,30.666666666666664,6.0,3.3333333333333335,2.666666666666667,0.0,0.6666666666666667,35.333333333333336
2011,0.0,22.666666666666664,0.6666666666666667,42.66666666666667,3.3333333333333335,1.3333333333333335,2.0,0.0,0.6666666666666667,26.666666666666668
2012,0.0,22.14765100671141,2.013422818791946,40.26845637583892,4.026845637583892,2.013422818791946,5.369127516778524,0.0,2.013422818791946,22.14765100671141
2013,0.0,17.197452229299362,1.2738853503184715,39.490445859872615,3.1847133757961785,2.547770700636943,1.2738853503184715,1.2738853503184715,0.6369426751592357,33.12101910828025
2014,0.0,13.815789473684212,0.0,42.10526315789473,3.9473684210526314,1.9736842105263157,2.631578947368421,1.9736842105263157,1.9736842105263157,31.57894736842105
2015,0.0,19.16167664670659,0.0,43.712574850299404,4.790419161676647,3.592814371257485,2.3952095808383236,0.0,1.1976047904191618,25.149700598802394
2016,0.0,20.33898305084746,0.5649717514124294,32.7683615819209,5.084745762711865,3.389830508474576,3.389830508474576,0.5649717514124294,0.5649717514124294,33.33333333333333
2017,0.0,14.97005988023952,1.7964071856287425,34.13173652694611,4.191616766467066,0.0,2.9940119760479043,1.1976047904191618,1.7964071856287425,38.92215568862276
2018,0.0,16.766467065868262,0.5988023952095809,29.94011976047904,3.592814371257485,0.5988023952095809,3.592814371257485,1.1976047904191618,2.3952095808383236,41.31736526946108
2019,0.0,22.981366459627328,0.6211180124223602,32.298136645962735,1.8633540372670807,2.484472049689441,3.1055900621118013,0.0,2.484472049689441,34.161490683229815
2020,0.0,20.0,0.9523809523809524,40.0,0.9523809523809524,1.4285714285714286,2.857142857142857,0.9523809523809524,0.9523809523809524,31.9047619047619
2021,0.0,25.43103448275862,1.7241379310344827,34.91379310344828,4.310344827586207,0.0,2.586206896551724,0.8620689655172413,0.43103448275862066,29.74137931034483
2022,0.4878048780487805,23.902439024390244,0.4878048780487805,35.609756097560975,4.390243902439024,1.4634146341463417,2.9268292682926833,0.4878048780487805,0.975609756097561,29.268292682926827
2023,0.0,18.95734597156398,2.3696682464454977,33.649289099526065,4.265402843601896,0.9478672985781991,4.265402843601896,0.47393364928909953,1.4218009478672986,33.649289099526065
2024,0.0,23.004694835680752,1.4084507042253522,26.291079812206576,8.92018779342723,2.3474178403755865,3.286384976525822,0.9389671361502347,1.8779342723004695,31.92488262910798
2025,0.0,28.217821782178216,0.49504950495049505,32.67326732673268,5.9405940594059405,1.4851485148514851,3.4653465346534658,1.4851485148514851,0.49504950495049505,25.742574257425744
