Year,10+ authors,2 authors,3-5 authors,6-10 authors,Single author
2010,0.0,35.714285714285715,42.857142857142854,7.142857142857142,14.285714285714285
2011,4.444444444444445,26.666666666666668,46.666666666666664,17.77777777777778,4.444444444444445
2012,1.7543859649122806,28.07017543859649,52.63157894736842,7.017543859649122,10.526315789473683
2013,6.172839506172839,28.39506172839506,38.2716049382716,14.814814814814813,12.345679012345679
2014,2.857142857142857,21.904761904761905,43.80952380952381,23.809523809523807,7.6190476190476195
2015,7.368421052631578,23.157894736842106,45.26315789473684,18.947368421052634,5.263157894736842
2016,8.108108108108109,21.62162162162162,43.24324324324324,20.27027027027027,6.756756756756757
2017,8.433734939759036,16.265060240963855,48.795180722891565,18.072289156626507,8.433734939759036
2018,5.14018691588785,19.626168224299064,50.0,17.289719626168225,7.943925233644859
2019,5.327868852459016,21.311475409836063,46.31147540983606,18.0327868852459,9.01639344262295
2020,7.328605200945626,19.38534278959811,49.1725768321513,15.839243498817968,8.274231678486997
2021,6.707317073170732,17.073170731707318,47.357723577235774,22.76422764227642,6.097560975609756
2022,8.893709327548807,15.61822125813449,48.37310195227766,20.390455531453362,6.724511930585683
2023,7.760532150776053,19.51219512195122,43.45898004434589,22.838137472283815,6.430155210643015
2024,8.858267716535433,18.89763779527559,44.881889763779526,22.244094488188974,5.118110236220472
2025,12.062256809338521,10.700389105058365,42.4124513618677,28.793774319066145,6.031128404669261
