Year,Applied Ecology,Biomonitoring/Water Quality,Conservation,Ecology/Behavior,Ethics,Evolution/Phylogeny,Other,Physiology,Taxonomy/Systematics,Virology
2010,51.610169491525426,1.694915254237288,0.1694915254237288,21.525423728813557,0.0,3.5593220338983054,0.9322033898305085,15.932203389830507,4.576271186440678,0.0
2011,54.826254826254825,1.0810810810810811,0.07722007722007722,18.455598455598455,0.0,4.16988416988417,1.1583011583011582,16.602316602316602,3.6293436293436296,0.0
2012,53.464673913043484,1.0869565217391304,0.06793478260869565,23.233695652173914,0.0,3.6684782608695654,0.8831521739130435,13.111413043478262,4.483695652173913,0.0
2013,55.61627200971463,1.153612629022465,0.0,18.94353369763206,0.0,3.825136612021858,1.3357619914996965,14.511232544019428,4.61445051608986,0.0
2014,57.536656891495596,0.997067448680352,0.05865102639296188,18.70967741935484,0.05865102639296188,4.281524926686217,1.5249266862170088,13.48973607038123,3.343108504398827,0.0
2015,57.70845830833833,1.4997000599880024,0.11997600479904018,18.17636472705459,0.0,4.439112177564487,1.1397720455908817,12.77744451109778,4.139172165566887,0.0
2016,61.786867599569426,1.2917115177610334,0.0,17.27664155005382,0.0,3.821313240043057,1.776103336921421,10.54897739504844,3.4445640473627552,0.05382131324004305
2017,61.03703703703703,1.2839506172839505,0.04938271604938272,17.48148148148148,0.0,3.753086419753086,1.3333333333333335,11.851851851851853,3.2098765432098766,0.0
2018,62.32846392208942,1.416555998229305,0.0,18.14962372731297,0.0,2.6560424966799467,1.593625498007968,10.092961487383798,3.7627268702965915,0.0
2019,62.73604699958037,1.6365925304238356,0.1258917331095258,17.079311791859002,0.0,3.2312211498111623,1.594628619387327,10.239194292908099,3.3571128829206884,0.0
2020,63.83458646616541,1.3157894736842104,0.03759398496240602,18.1203007518797,0.0,2.744360902255639,1.3157894736842104,8.984962406015038,3.6466165413533833,0.0
2021,62.74928774928775,1.7094017094017095,0.07122507122507123,16.844729344729345,0.0,2.7777777777777777,1.7094017094017095,10.648148148148149,3.49002849002849,0.0
2022,65.11299435028248,1.4124293785310735,0.1059322033898305,15.748587570621469,0.0,2.4364406779661016,1.6596045197740112,9.887005649717514,3.637005649717514,0.0
2023,64.76121562952243,1.3748191027496381,0.0,17.257597684515193,0.0,2.6049204052098407,1.5557163531114326,9.044862518089724,3.400868306801737,0.0
2024,65.28813559322035,1.5932203389830506,0.03389830508474576,18.033898305084744,0.0,1.8983050847457625,1.423728813559322,8.813559322033898,2.9152542372881354,0.0
2025,66.90535491905355,2.3972602739726026,0.09339975093399751,15.597758405977585,0.0,2.646326276463263,1.4009962640099627,8.561643835616438,2.3972602739726026,0.0
