Year,Applied Ecology,Biomonitoring/Water Quality,Conservation,Ecology/Behavior,Evolution/Phylogeny,Other,Physiology,Taxonomy/Systematics
2010,2.0408163265306123,9.183673469387756,4.081632653061225,46.42857142857143,2.5510204081632653,1.0204081632653061,8.16326530612245,26.53061224489796
2011,1.0204081632653061,7.142857142857142,2.0408163265306123,46.93877551020408,4.591836734693878,2.0408163265306123,8.673469387755102,27.55102040816326
2012,3.0172413793103448,11.206896551724139,3.8793103448275863,37.06896551724138,6.4655172413793105,3.8793103448275863,9.913793103448276,24.568965517241377
2013,2.3904382470119523,7.569721115537849,3.5856573705179287,43.42629482071713,6.772908366533864,1.9920318725099602,11.155378486055776,23.107569721115535
2014,4.119850187265917,8.614232209737828,4.49438202247191,44.9438202247191,8.98876404494382,2.247191011235955,7.865168539325842,18.726591760299627
2015,6.870229007633588,8.396946564885496,4.961832061068702,47.70992366412214,3.816793893129771,2.2900763358778624,6.870229007633588,19.083969465648856
2016,4.406779661016949,7.457627118644068,5.423728813559322,37.96610169491525,6.440677966101695,1.694915254237288,11.186440677966102,25.423728813559322
2017,3.0959752321981426,9.287925696594428,4.3343653250774,34.05572755417957,7.430340557275541,0.30959752321981426,10.21671826625387,31.269349845201237
2018,3.8095238095238098,8.88888888888889,4.761904761904762,35.87301587301587,6.349206349206349,1.9047619047619049,9.841269841269842,28.57142857142857
2019,3.6619718309859155,10.422535211267606,4.788732394366197,36.901408450704224,4.788732394366197,1.1267605633802817,9.859154929577464,28.450704225352112
2020,5.524861878453039,12.154696132596685,3.867403314917127,33.14917127071823,4.143646408839778,2.7624309392265194,9.116022099447514,29.2817679558011
2021,2.457002457002457,12.530712530712531,4.914004914004914,38.32923832923833,7.371007371007371,3.6855036855036856,7.371007371007371,23.34152334152334
2022,5.121293800539084,13.746630727762804,4.8517520215633425,35.84905660377358,5.121293800539084,1.3477088948787064,7.008086253369273,26.954177897574123
2023,4.643962848297214,11.76470588235294,7.120743034055728,34.36532507739938,7.739938080495357,1.8575851393188854,4.953560371517028,27.55417956656347
2024,4.244031830238726,11.671087533156498,6.10079575596817,36.339522546419104,6.10079575596817,1.5915119363395225,8.488063660477453,25.46419098143236
2025,2.8901734104046244,15.895953757225435,6.6473988439306355,33.23699421965318,4.335260115606936,4.335260115606936,9.248554913294797,23.410404624277454
