,US,DE,ES,GB,BR,AT,CN,CA,HR,AU,CZ,SE
US,34.8,4.9,2.1,2.8,3.7,1.0,4.3,4.4,0.1,2.8,1.7,0.8
DE,,20.1,1.5,1.9,0.8,4.3,1.5,0.9,2.8,0.6,0.6,1.4
ES,,,12.5,2.3,1.0,0.6,0.6,0.3,1.3,1.2,0.8,0.4
GB,,,,11.5,0.4,0.6,1.4,1.0,0.4,1.4,0.3,0.9
BR,,,,,9.2,0.1,0.3,0.3,0.0,0.9,0.9,0.4
AT,,,,,,8.8,0.5,0.1,2.7,0.3,0.5,0.3
CN,,,,,,,7.9,0.5,0.1,0.5,0.1,0.3
CA,,,,,,,,7.7,0.0,0.1,0.1,0.1
HR,,,,,,,,,7.5,0.1,0.8,0.1
AU,,,,,,,,,,6.2,0.1,0.1
CZ,,,,,,,,,,,5.7,0.3
SE,,,,,,,,,,,,5.4
