,US,CN,DE,ES,HU,GB,BR,CA,NZ,JP,FR,CH
US,26.3,4.9,3.0,2.3,1.1,2.3,1.5,1.9,2.3,1.9,1.1,1.1
CN,,21.4,1.1,1.5,7.5,1.1,0.4,0.4,0.4,1.9,0.4,0.0
DE,,,15.0,1.1,0.4,1.9,1.5,1.1,1.5,1.1,0.4,1.5
ES,,,,13.2,0.4,2.3,0.4,0.8,0.4,0.8,0.8,0.4
HU,,,,,10.9,0.0,0.0,0.0,0.0,1.5,0.4,0.0
GB,,,,,,9.8,0.4,1.1,1.1,0.4,0.4,1.1
BR,,,,,,,9.4,0.0,0.8,0.4,0.4,0.4
CA,,,,,,,,7.1,1.1,0.4,0.4,0.4
NZ,,,,,,,,,7.1,0.8,0.8,0.4
JP,,,,,,,,,,6.8,0.0,0.0
FR,,,,,,,,,,,6.4,1.1
CH,,,,,,,,,,,,5.6
