,US,DE,BR,CH,GB,ES
US,296,36,51,24,30,25
DE,36,145,12,22,16,14
BR,51,12,141,12,6,11
CH,24,22,12,128,9,10
GB,30,16,6,9,91,17
ES,25,14,11,10,17,85
