,US,DE,GB,CN,FR,ES,CA,BR,AU,NL,SE,IN
US,32.4,5.4,3.7,2.9,2.8,2.0,5.1,2.6,3.3,3.0,1.8,1.9
DE,,14.5,1.8,1.1,1.8,1.6,1.9,1.1,1.9,2.1,0.7,0.6
GB,,,12.4,1.4,1.4,1.1,1.2,0.3,1.1,1.1,1.1,0.5
CN,,,,12.0,3.0,0.7,0.8,0.0,0.8,0.5,0.2,0.3
FR,,,,,10.5,0.6,0.6,0.5,0.2,0.7,0.3,0.1
ES,,,,,,10.4,0.4,1.3,0.8,1.1,0.6,0.2
CA,,,,,,,10.4,0.8,1.5,0.8,0.6,0.2
BR,,,,,,,,10.3,0.6,0.6,1.6,0.0
AU,,,,,,,,,9.3,1.1,0.7,0.5
NL,,,,,,,,,,9.2,0.3,0.2
SE,,,,,,,,,,,7.6,0.2
IN,,,,,,,,,,,,7.1
