,US,GB,FR,BR,CN,AU
US,5992,1236,522,587,605,424
GB,1236,3355,384,244,89,251
FR,522,384,2020,126,59,81
BR,587,244,126,1248,28,73
CN,605,89,59,28,1159,59
AU,424,251,81,73,59,945
