,US,DE,GB,FR,SE,CN
US,422,73,58,33,41,18
DE,73,246,35,33,20,14
GB,58,35,219,36,25,35
FR,33,33,36,198,10,69
SE,41,20,25,10,189,3
CN,18,14,35,69,3,182
