,US,DE,GB,ES,IN,CA,CN,BR,CH,AU,FR,CZ
US,31.2,3.2,2.1,2.9,2.1,4.8,1.9,2.1,0.8,2.9,1.3,2.1
DE,,15.6,1.6,1.1,0.3,1.1,1.3,1.3,1.1,0.5,0.8,0.8
GB,,,11.4,1.1,0.0,1.6,1.3,0.3,0.3,1.1,0.3,0.3
ES,,,,10.6,0.5,0.5,0.8,0.0,0.5,0.5,0.5,0.8
IN,,,,,9.8,0.3,0.5,0.3,0.3,0.8,0.0,0.0
CA,,,,,,9.3,0.3,0.0,0.3,0.5,0.5,0.3
CN,,,,,,,9.3,0.0,0.0,0.5,0.0,1.1
BR,,,,,,,,9.0,0.0,1.3,0.3,0.0
CH,,,,,,,,,7.1,0.0,0.5,0.5
AU,,,,,,,,,,6.9,0.3,0.0
FR,,,,,,,,,,,6.6,1.1
CZ,,,,,,,,,,,,5.8
