,US,CN,DE,ES,HU,GB
US,70,13,8,6,3,6
CN,13,57,3,4,20,3
DE,8,3,40,3,1,5
ES,6,4,3,35,1,6
HU,3,20,1,1,29,0
GB,6,3,5,6,0,26
