,US,DE,ES,GB,BR,AT
US,270,38,16,22,29,8
DE,38,156,12,15,6,33
ES,16,12,97,18,8,5
GB,22,15,18,89,3,5
BR,29,6,8,3,71,1
AT,8,33,5,5,1,68
