Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21,"C. Tamaris-Turizo","Aquatic Macroinvertebrates drift along of the Gaira River, northwestern side of the Sierra Nevada de Santa Marta, Colombia",2013,"Caldasia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879452624&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879452624&origin=inward",70,"2026-01-04 12:21:33","Article","","0366-5232","https://api.elsevier.com/content/abstract/scopus_id/84879452624",35,1,149,163,21,1.62,21,1,13,"","",""
6,"S. Melnitsky","Archaeotinodes ivanovi sp. nov., a new fossil species of Ecnomidae (Insecta: Trichoptera) from the Baltic amber",2013,"Paleontological Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84883825967&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883825967&origin=inward",155,"2026-01-04 12:21:33","Article","10.1134/S0031030113040114","0031-0301","https://api.elsevier.com/content/abstract/scopus_id/84883825967",47,4,407,409,6,0.46,6,1,13,"","",""
29,"J.J. Corbi","Are aquatic insect species sensitive to banana plant cultivation?",2013,"Ecological Indicators","","https://api.elsevier.com/content/article/eid/1-s2.0-S1470160X12003378","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867778633&origin=inward",52,"2026-01-04 12:21:33","Article","10.1016/j.ecolind.2012.09.020","1470-160X","https://api.elsevier.com/content/abstract/scopus_id/84867778633",25,,156,161,29,2.23,29,1,13,"","",""
17,"A.S. Waters","Assessing aluminium toxicity in streams affected by acid mine drainage",2013,"Water Science and Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84877694649&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84877694649&origin=inward",83,"2026-01-04 12:21:33","Article","10.2166/wst.2013.051","0273-1223","https://api.elsevier.com/content/abstract/scopus_id/84877694649",67,8,1764,1772,17,1.31,17,1,13,"","",""
11,"M.D. Monferran","Autecology of Wolfestheria smekali (Spinicaudata) from the Upper Jurassic (Cañadón Asfalto Formation), Patagonia, Argentina",2013,"Palaeogeography Palaeoclimatology Palaeoecology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0031018213003696","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884543278&origin=inward",109,"2026-01-04 12:21:33","Article","10.1016/j.palaeo.2013.08.006","0031-0182","https://api.elsevier.com/content/abstract/scopus_id/84884543278",392,,52,61,11,0.85,11,1,13,"","",""
124,"J. Brandner","Bigger Is Better: Characteristics of Round Gobies Forming an Invasion Front in the Danube River",2013,"Plos One","","https://api.elsevier.com/content/article/eid/1-s2.0-S1932620313260554","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883629824&origin=inward",7,"2026-01-04 12:21:33","Article","10.1371/journal.pone.0073036","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/84883629824",8,9,,,124,9.54,124,1,13,"","",""
32,"A.S.S. Abdo","Biodiversity of stream insects in the Malaysian Peninsula: Spatial patterns and environmental constraints",2013,"Ecological Entomology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84877633291&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84877633291&origin=inward",45,"2026-01-04 12:21:33","Article","10.1111/een.12013","0307-6946","https://api.elsevier.com/content/abstract/scopus_id/84877633291",38,3,238,249,32,2.46,32,1,13,"","",""
11,"V.W.K. Fu","Breeding dynamics, diet, and body condition of the Hong Kong Newt (Paramesotriton hongkongensis)",2013,"Herpetological Monographs","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84891350912&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891350912&origin=inward",114,"2026-01-04 12:21:33","Article","10.1655/Herpmonographs-D-11-00010","0733-1347","https://api.elsevier.com/content/abstract/scopus_id/84891350912",,27,1,22,11,0.85,11,1,13,"","",""
28,"A. Previšić","Caddisfly (Insecta: Trichoptera) fauna of Papuk Nature Park, Croatia",2013,"Natura Croatica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879595165&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879595165&origin=inward",53,"2026-01-04 12:21:33","Article","","1330-0520","https://api.elsevier.com/content/abstract/scopus_id/84879595165",22,1,1,13,28,2.15,28,1,13,"","",""
5,"D. Kalaninová","Caddisfly assemblages of high mountain streams (The High Tatra Mts, Slovakia) influenced by a major windstorm event",2013,"Biologia Poland","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84876086346&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876086346&origin=inward",162,"2026-01-04 12:21:33","Article","10.2478/s11756-013-0173-7","0006-3088","https://api.elsevier.com/content/abstract/scopus_id/84876086346",68,3,501,509,5,0.38,5,1,13,"","",""
