Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
13,Chen Z.T.,DNA barcodes of Plecoptera from China: The preliminary dataset and its performance in species delimitation,2020,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081994941&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081994941&origin=inward,,2026-04-12 18:40:27,Article,10.11646/zootaxa.4751.2.9,11755326,https://api.elsevier.com/content/abstract/scopus_id/85081994941,4751,2,,,,2.6,13.0,1,5,,,,85081994941,2-s2.0-85081994941
14,Fochetti R.,Endemism in the Italian stonefly-fauna (Plecoptera),2020,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078355123&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078355123&origin=inward,,2026-04-12 18:40:27,Article,10.11646/zootaxa.4722.4.7,11755326,https://api.elsevier.com/content/abstract/scopus_id/85078355123,4722,4,,,,2.8,14.0,1,5,,,,85078355123,2-s2.0-85078355123
14,Malison R.L.,Remarkable anoxia tolerance by stoneflies from a floodplain aquifer,2020,Ecology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089870337&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089870337&origin=inward,,2026-04-12 18:40:27,Article,10.1002/ecy.3127,00129658,https://api.elsevier.com/content/abstract/scopus_id/85089870337,101,10,,,,2.8,14.0,1,5,,,,85089870337,2-s2.0-85089870337
9,McRoberts T.C.,"Effects of stream permanence on stonefly (Insecta, Plecoptera) community structure at Mammoth Cave National Park, Kentucky, USA",2020,Biodiversity Data Journal,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103336227&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103336227&origin=inward,,2026-04-12 18:40:27,Article,10.3897/BDJ.9.E62242,,https://api.elsevier.com/content/abstract/scopus_id/85103336227,9,,,,,1.8,9.0,1,5,,,,85103336227,2-s2.0-85103336227
3,Chen Z.T.,"NEW GENUS OF CRETACEOUS STONEFLY (PLECOPTERA: PERLIDAE) FROM KACHIN AMBER, MYANMAR",2020,Acta Palaeontologica Sinica,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111184975&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111184975&origin=inward,,2026-04-12 18:40:27,Article,10.19800/j.cnki.aps.2020.01.007,00016616,https://api.elsevier.com/content/abstract/scopus_id/85111184975,59,1,,,,0.6,3.0,1,5,,,,85111184975,2-s2.0-85111184975
6,Bilalli A.,New records for the stonefly fauna (Insecta: Plecoptera) of Kosovo,2020,Natura Croatica,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85095417514&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85095417514&origin=inward,,2026-04-12 18:40:27,Article,10.20302/NC.2020.29.4,13300520,https://api.elsevier.com/content/abstract/scopus_id/85095417514,29,1,,,,1.2,6.0,1,5,,,,85095417514,2-s2.0-85095417514
0,Tyufekchieva V.,"Stoneflies (Plecoptera, Insecta) from Sarnena Sredna Gora Mts",2020,Zoonotes,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195219076&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85195219076&origin=inward,,2026-04-12 18:40:27,Article,,,https://api.elsevier.com/content/abstract/scopus_id/85195219076,2020,,,,,0.0,0.0,1,5,,,,85195219076,2-s2.0-85195219076
7,Malison R.L.,Tolerance of aquifer stoneflies to repeated hypoxia exposure and oxygen dynamics in an alluvial aquifer,2020,Journal of Experimental Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090078094&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090078094&origin=inward,,2026-04-12 18:40:27,Article,10.1242/jeb.225623,00220949,https://api.elsevier.com/content/abstract/scopus_id/85090078094,223,16,,,,1.4,7.0,1,5,,,,85090078094,2-s2.0-85090078094
18,Zhao M.Y.,Molecular phylogeny inferred from the mitochondrial genomes of Plecoptera with Oyamia nigribasis (Plecoptera: Perlidae),2020,Scientific Reports,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096995463&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096995463&origin=inward,,2026-04-12 18:40:27,Article,10.1038/s41598-020-78082-y,,https://api.elsevier.com/content/abstract/scopus_id/85096995463,10,1,,,,3.6,18.0,1,5,,,,85096995463,2-s2.0-85096995463
8,Gamboa M.,"Hemocyanin and hexamerins expression in response to hypoxia in stoneflies (Plecoptera, Insecta)",2020,Archives of Insect Biochemistry and Physiology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091429335&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091429335&origin=inward,,2026-04-12 18:40:27,Article,10.1002/arch.21743,07394462,https://api.elsevier.com/content/abstract/scopus_id/85091429335,105,3,,,,1.6,8.0,1,5,,,,85091429335,2-s2.0-85091429335
6,Shen Y.,"The complete mitochondrial genome of Flavoperla biocellata Chu, 1929 (Plecoptera: Perlidae) and the phylogenetic analyses of Plecoptera",2020,Peerj,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083485887&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083485887&origin=inward,,2026-04-12 18:40:27,Article,10.7717/peerj.8762,,https://api.elsevier.com/content/abstract/scopus_id/85083485887,2020,3,,,,1.2,6.0,1,5,,,,85083485887,2-s2.0-85083485887
