Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
12,Chen Z.,A new stonefly of Acroneuriinae (Plecoptera: Perlidae) from mid-Cretaceous amber of northern Myanmar,2019,Cretaceous Research,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062916931&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062916931&origin=inward,,2026-04-12 18:40:14,Article,10.1016/j.cretres.2019.02.020,01956671,https://api.elsevier.com/content/abstract/scopus_id/85062916931,99,,,,,2.0,12.0,1,6,,,,85062916931,2-s2.0-85062916931
10,Chen Z.,The first formal report of brachypterous stonefly of Leuctridae (Plecoptera) from China,2019,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068205233&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068205233&origin=inward,,2026-04-12 18:40:14,Article,10.11646/zootaxa.4624.2.6,11755326,https://api.elsevier.com/content/abstract/scopus_id/85068205233,4624,2,,,,1.67,10.0,1,6,,,,85068205233,2-s2.0-85068205233
17,McCulloch G.A.,Comparative transcriptomic analysis of a wing-dimorphic stonefly reveals candidate wing loss genes,2019,Evodevo,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072017531&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072017531&origin=inward,,2026-04-12 18:40:14,Article,10.1186/s13227-019-0135-4,,https://api.elsevier.com/content/abstract/scopus_id/85072017531,10,1,,,,2.83,17.0,1,6,,,,85072017531,2-s2.0-85072017531
15,Schubnel T.,"Two new stem-stoneflies discovered in the Pennsylvanian Avion locality, Pas-de-Calais, France (Insecta: ‘Exopterygota’)",2019,Alcheringa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062356022&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062356022&origin=inward,,2026-04-12 18:40:14,Article,10.1080/03115518.2019.1569159,03115518,https://api.elsevier.com/content/abstract/scopus_id/85062356022,43,3,,,,2.5,15.0,1,6,,,,85062356022,2-s2.0-85062356022
9,Cao J.,"Characterization of the nearly complete mitochondrial genome of a Chinese endemic stonefly species, Caroperla siveci (Plecoptera: Perlidae)",2019,Mitochondrial DNA Part B Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060353568&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060353568&origin=inward,,2026-04-12 18:40:14,Article,10.1080/23802359.2018.1553523,,https://api.elsevier.com/content/abstract/scopus_id/85060353568,4,1,,,,1.5,9.0,1,6,,,,85060353568,2-s2.0-85060353568
1,Evtimova V.,"Ephemeroptera, plecoptera, and trichoptera (insecta) from the Bulgarian stretch of the danube river and adjacent territories",2019,Biodiversity of the Bulgarian Romanian Section of the Lower Danube,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083542874&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083542874&origin=inward,,2026-04-12 18:40:14,Book Chapter,,,https://api.elsevier.com/content/abstract/scopus_id/85083542874,,,,,,0.17,1.0,1,6,,,,85083542874,2-s2.0-85083542874
39,Wang Y.,The first mitochondrial genome from Scopuridae (Insecta: Plecoptera) reveals structural features and phylogenetic implications,2019,International Journal of Biological Macromolecules,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056225955&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056225955&origin=inward,,2026-04-12 18:40:14,Article,10.1016/j.ijbiomac.2018.11.019,01418130,https://api.elsevier.com/content/abstract/scopus_id/85056225955,122,,,,,6.5,39.0,1,6,,,,85056225955,2-s2.0-85056225955
11,Hotaling S.,Congruent population genetic structure but differing depths of divergence for three alpine stoneflies with similar ecology and geographic distributions,2019,Freshwater Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058504099&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058504099&origin=inward,,2026-04-12 18:40:14,Article,10.1111/fwb.13223,00465070,https://api.elsevier.com/content/abstract/scopus_id/85058504099,64,2,,,,1.83,11.0,1,6,,,,85058504099,2-s2.0-85058504099
6,Teslenko V.A.,"Description of new apterous winter species of Leuctra (Plecoptera: Leuctridae) based morphology and DNA barcoding and further records to stonefly fauna of the Caucasus, Georgia",2019,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064335813&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064335813&origin=inward,,2026-04-12 18:40:14,Article,10.11646/zootaxa.4585.3.9,11755326,https://api.elsevier.com/content/abstract/scopus_id/85064335813,4585,3,,,,1.0,6.0,1,6,,,,85064335813,2-s2.0-85064335813
3,Cao J.,"The complete mitochondrial genome of a stonefly species, Suwallia bimaculata (Plecoptera: Chloroperlidae)",2019,Mitochondrial DNA Part B Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071973875&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071973875&origin=inward,,2026-04-12 18:40:14,Article,10.1080/23802359.2019.1660263,,https://api.elsevier.com/content/abstract/scopus_id/85071973875,4,2,,,,0.5,3.0,1,6,,,,85071973875,2-s2.0-85071973875
