Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
24,Chen Z.T.,Comparison of the complete mitochondrial genome of the stonefly Sweltsa longistyla (Plecoptera: Chloroperlidae) with mitogenomes of three other stoneflies,2015,Gene,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84923361199&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923361199&origin=inward,,2026-04-12 18:39:31,Article,10.1016/j.gene.2014.12.049,03781119,https://api.elsevier.com/content/abstract/scopus_id/84923361199,558,1,,,,2.4,24.0,1,10,,,,84923361199,2-s2.0-84923361199
43,DeWalt R.E.,Order Plecoptera,2015,Thorp and Covich S Freshwater Invertebrates Ecology and General Biology Fourth Edition,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84942931486&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84942931486&origin=inward,,2026-04-12 18:39:31,Book Chapter,10.1016/B978-0-12-385026-3.00036-X,,https://api.elsevier.com/content/abstract/scopus_id/84942931486,1,,,,,4.3,43.0,1,10,,,,84942931486,2-s2.0-84942931486
2,Murányi D.,"Review and contribution to the plecoptera fauna of sălaj county, romania",2015,Studia Universitatis Vasile Goldis Arad Seria Stiintele Vietii,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84957806038&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84957806038&origin=inward,,2026-04-12 18:39:31,Article,,15842363,https://api.elsevier.com/content/abstract/scopus_id/84957806038,25,4,,,,0.2,2.0,1,10,,,,84957806038,2-s2.0-84957806038
3,Krno I.,Microdistributions of stoneflies of the High Tatra montane streams,2015,Open Life Sciences,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84927930158&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84927930158&origin=inward,,2026-04-12 18:39:31,Article,10.1515/biol-2015-0024,,https://api.elsevier.com/content/abstract/scopus_id/84927930158,10,1,,,,0.3,3.0,1,10,,,,84927930158,2-s2.0-84927930158
32,Huang M.,"The complete mitochondrial genome and its remarkable secondary structure for a stonefly Acroneuria hainana Wu (Insecta: Plecoptera, Perlidae)",2015,Gene,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84920196776&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84920196776&origin=inward,,2026-04-12 18:39:31,Article,10.1016/j.gene.2014.12.009,03781119,https://api.elsevier.com/content/abstract/scopus_id/84920196776,557,1,,,,3.2,32.0,1,10,,,,84920196776,2-s2.0-84920196776
28,Elbrecht V.,"The complete mitochondrial genome of the stonefly Dinocras cephalotes (Plecoptera, Perlidae)",2015,Mitochondrial DNA,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84930883043&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84930883043&origin=inward,,2026-04-12 18:39:31,Short Survey,10.3109/19401736.2013.830301,19401736,https://api.elsevier.com/content/abstract/scopus_id/84930883043,26,3,,,,2.8,28.0,1,10,,,,84930883043,2-s2.0-84930883043
11,Cui Y.,"Sinosharaperla zhaoi (Insecta: Plecoptera; Early Cretaceous), a Gondwanian element in the northern hemisphere, or just a misplaced species?",2015,Journal of Systematic Palaeontology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84940450558&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84940450558&origin=inward,,2026-04-12 18:39:31,Article,10.1080/14772019.2014.960903,14772019,https://api.elsevier.com/content/abstract/scopus_id/84940450558,13,10,,,,1.1,11.0,1,10,,,,84940450558,2-s2.0-84940450558
4,Michalik A.,"The structure and ultrastructure of the egg capsule of Brachyptera risi (Plecoptera, Nemouroidea, Taeniopterygidae) with some remarks concerning choriogenesis",2015,Microscopy Research and Technique,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84921324739&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84921324739&origin=inward,,2026-04-12 18:39:31,Article,10.1002/jemt.22459,1059910X,https://api.elsevier.com/content/abstract/scopus_id/84921324739,78,2,,,,0.4,4.0,1,10,,,,84921324739,2-s2.0-84921324739
8,Mynott J.H.,Mitochondrial DNA allows the association of life stages to facilitate species recognition and delimitation in Australian stoneflies (Plecoptera:Gripopterygidae:Newmanoperla),2015,Invertebrate Systematics,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84934283761&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84934283761&origin=inward,,2026-04-12 18:39:31,Article,10.1071/IS14043,14455226,https://api.elsevier.com/content/abstract/scopus_id/84934283761,29,3,,,,0.8,8.0,1,10,,,,84934283761,2-s2.0-84934283761
12,Elbrecht V.,"The mitochondrial genome of the Arizona Snowfly Mesocapnia arizonensis (Plecoptera, Capniidae)",2015,Mitochondrial DNA,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85008461996&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85008461996&origin=inward,,2026-04-12 18:39:31,Article,10.3109/19401736.2015.1018223,19401736,https://api.elsevier.com/content/abstract/scopus_id/85008461996,27,5,,,,1.2,12.0,1,10,,,,85008461996,2-s2.0-85008461996
