Year,Asia,Europe,North America,Other,South America,Unknown
2010,0.0,35.714285714285715,14.285714285714285,14.285714285714285,21.428571428571427,14.285714285714285
2011,15.555555555555555,17.77777777777778,26.666666666666668,11.11111111111111,17.77777777777778,11.11111111111111
2012,19.298245614035086,21.052631578947366,15.789473684210526,12.280701754385964,10.526315789473683,21.052631578947366
2013,14.634146341463413,21.951219512195124,17.073170731707318,6.097560975609756,13.414634146341465,26.82926829268293
2014,15.09433962264151,33.0188679245283,10.377358490566039,3.7735849056603774,15.09433962264151,22.641509433962266
2015,12.631578947368421,25.263157894736842,15.789473684210526,7.368421052631578,13.684210526315791,25.263157894736842
2016,22.666666666666664,18.666666666666668,6.666666666666667,2.666666666666667,10.666666666666668,38.666666666666664
2017,14.534883720930234,23.25581395348837,12.209302325581394,5.813953488372093,18.023255813953487,26.16279069767442
2018,20.52401746724891,20.96069868995633,14.847161572052403,7.860262008733625,14.847161572052403,20.96069868995633
2019,23.481781376518217,17.813765182186234,8.502024291497975,5.263157894736842,16.599190283400812,28.34008097165992
2020,24.193548387096776,17.51152073732719,9.216589861751153,4.377880184331797,15.207373271889402,29.493087557603687
2021,22.736030828516377,19.460500963391137,7.321772639691715,3.8535645472061653,14.836223506743737,31.79190751445087
2022,19.144602851323828,19.144602851323828,5.7026476578411405,3.462321792260693,16.08961303462322,36.456211812627295
2023,18.843683083511777,20.556745182012847,5.781584582441114,4.282655246252676,10.278372591006423,40.25695931477516
2024,17.96875,19.921875,7.2265625,4.1015625,12.6953125,38.0859375
2025,17.115384615384617,18.269230769230766,4.807692307692308,4.230769230769231,10.76923076923077,44.80769230769231
