Year,Asia,Europe,North America,Other,South America,Unknown
2010,4.191616766467066,10.179640718562874,11.976047904191617,7.784431137724551,8.982035928143713,56.886227544910184
2011,5.454545454545454,9.696969696969697,7.878787878787878,3.6363636363636362,12.727272727272727,60.60606060606061
2012,8.227848101265822,10.759493670886076,5.063291139240507,2.5316455696202533,8.860759493670885,64.55696202531645
2013,7.738095238095238,16.071428571428573,4.761904761904762,2.976190476190476,10.119047619047619,58.333333333333336
2014,8.620689655172415,10.344827586206897,6.896551724137931,2.8735632183908044,13.218390804597702,58.04597701149425
2015,6.214689265536723,15.819209039548024,7.909604519774012,3.389830508474576,12.994350282485875,53.672316384180796
2016,4.597701149425287,16.091954022988507,3.4482758620689653,2.8735632183908044,9.195402298850574,63.793103448275865
2017,8.670520231213873,13.294797687861271,8.092485549132949,2.8901734104046244,16.184971098265898,50.86705202312138
2018,7.55813953488372,13.953488372093023,5.813953488372093,0.5813953488372093,16.27906976744186,55.81395348837209
2019,5.084745762711865,15.819209039548024,3.954802259887006,3.389830508474576,13.559322033898304,58.19209039548022
2020,7.0588235294117645,14.117647058823529,5.294117647058823,4.705882352941177,13.529411764705882,55.294117647058826
2021,3.428571428571429,18.857142857142858,5.142857142857142,3.428571428571429,5.714285714285714,63.42857142857142
2022,9.289617486338798,13.114754098360656,8.743169398907105,3.825136612021858,13.114754098360656,51.91256830601093
2023,9.142857142857142,14.857142857142858,4.571428571428571,2.857142857142857,18.857142857142858,49.714285714285715
2024,6.666666666666667,14.444444444444443,3.3333333333333335,5.0,8.333333333333332,62.22222222222222
2025,10.638297872340425,21.27659574468085,3.723404255319149,3.723404255319149,12.76595744680851,47.87234042553192
