Year,10+ authors,2 authors,3-5 authors,6-10 authors,Single author
2010,0.0,15.384615384615385,61.53846153846154,15.384615384615385,7.6923076923076925
2011,0.0,27.906976744186046,58.139534883720934,11.627906976744185,2.3255813953488373
2012,0.0,34.883720930232556,55.81395348837209,6.976744186046512,2.3255813953488373
2013,0.0,25.581395348837212,48.837209302325576,11.627906976744185,13.953488372093023
2014,0.0,21.428571428571427,54.761904761904766,14.285714285714285,9.523809523809524
2015,0.0,18.367346938775512,59.183673469387756,20.408163265306122,2.0408163265306123
2016,4.651162790697675,16.27906976744186,51.162790697674424,20.930232558139537,6.976744186046512
2017,5.357142857142857,21.428571428571427,57.14285714285714,12.5,3.571428571428571
2018,1.5873015873015872,26.984126984126984,36.507936507936506,19.047619047619047,15.873015873015872
2019,1.0204081632653061,16.3265306122449,67.3469387755102,8.16326530612245,7.142857142857142
2020,3.125,16.666666666666664,53.125,13.541666666666666,13.541666666666666
2021,0.0,10.1010101010101,55.55555555555556,27.27272727272727,7.07070707070707
2022,2.1739130434782608,9.782608695652174,58.69565217391305,21.73913043478261,7.608695652173914
2023,1.2987012987012987,20.77922077922078,50.649350649350644,20.77922077922078,6.493506493506493
2024,3.8461538461538463,14.102564102564102,47.43589743589743,24.358974358974358,10.256410256410255
2025,4.3478260869565215,9.782608695652174,54.347826086956516,19.565217391304348,11.956521739130435
