Year,10+ authors,2 authors,3-5 authors,6-10 authors,Single author
2010,0.0,23.076923076923077,55.12820512820513,10.256410256410255,11.538461538461538
2011,0.0,21.341463414634145,61.58536585365854,10.975609756097562,6.097560975609756
2012,2.7027027027027026,19.594594594594593,58.108108108108105,11.486486486486488,8.108108108108109
2013,0.0,25.280898876404496,53.37078651685393,12.359550561797752,8.98876404494382
2014,0.0,22.36024844720497,52.17391304347826,15.527950310559005,9.937888198757763
2015,0.0,21.910112359550563,52.80898876404494,19.101123595505616,6.179775280898876
2016,1.6129032258064515,19.892473118279568,51.075268817204304,19.892473118279568,7.526881720430108
2017,4.568527918781726,18.781725888324875,57.868020304568525,16.243654822335024,2.5380710659898478
2018,1.25,14.374999999999998,58.75,22.5,3.125
2019,1.530612244897959,17.857142857142858,51.53061224489795,21.93877551020408,7.142857142857142
2020,3.4782608695652173,11.73913043478261,60.0,19.565217391304348,5.217391304347826
2021,2.7450980392156863,15.294117647058824,53.72549019607843,23.137254901960784,5.098039215686274
2022,2.8708133971291865,15.789473684210526,55.980861244019145,19.138755980861244,6.220095693779904
2023,3.6363636363636362,13.18181818181818,53.18181818181819,23.18181818181818,6.8181818181818175
2024,3.2710280373831773,17.75700934579439,48.598130841121495,24.299065420560748,6.074766355140187
2025,3.5555555555555554,12.444444444444445,51.11111111111111,27.111111111111114,5.777777777777778
