Year,10+ authors,2 authors,3-5 authors,6-10 authors,Single author
2010,5.959302325581396,11.046511627906977,46.075581395348834,32.412790697674424,4.505813953488372
2011,5.7356608478802995,13.216957605985039,43.01745635910225,32.54364089775561,5.486284289276807
2012,6.337271750805586,12.244897959183673,42.32008592910849,34.69387755102041,4.403866809881848
2013,7.942973523421588,10.081466395112017,40.42769857433808,37.270875763747455,4.276985743380855
2014,9.519230769230768,10.096153846153847,43.46153846153846,33.26923076923077,3.653846153846154
2015,9.500489715964742,10.479921645445641,41.33202742409402,35.161606268364345,3.525954946131244
2016,9.907407407407408,9.074074074074074,38.88888888888889,37.31481481481482,4.814814814814815
2017,10.192616372391655,8.587479935794542,37.56019261637239,39.00481540930979,4.654895666131622
2018,9.10394265232975,8.45878136200717,38.853046594982075,39.35483870967742,4.229390681003585
2019,13.64562118126273,7.942973523421588,35.64154786150713,38.01765105227427,4.752206381534283
2020,13.219741480611047,8.343125734430082,36.19271445358402,39.306698002350174,2.937720329024677
2021,15.35855448898927,7.792207792207792,37.09768492377188,35.855448898927165,3.896103896103896
2022,15.494447382337388,7.932310946589107,33.63299841353781,38.60391327340032,4.336329984135378
2023,15.906735751295336,7.772020725388601,34.818652849740936,36.994818652849744,4.507772020725389
2024,16.079923882017127,7.611798287345385,33.87250237868697,38.011417697431014,4.424357754519505
2025,18.177591817759183,7.345420734542074,30.636913063691306,39.8419339841934,3.9981403998140403
