Year,10+ authors,2 authors,3-5 authors,6-10 authors,Single author
2010,0.0,30.967741935483872,43.87096774193549,10.32258064516129,14.838709677419354
2011,0.0,25.903614457831324,53.6144578313253,10.240963855421686,10.240963855421686
2012,0.0,26.351351351351347,52.702702702702695,9.45945945945946,11.486486486486488
2013,0.5494505494505495,26.373626373626376,52.197802197802204,11.538461538461538,9.340659340659341
2014,1.1904761904761905,26.785714285714285,51.78571428571429,13.095238095238097,7.142857142857142
2015,1.694915254237288,26.55367231638418,45.19774011299435,22.598870056497177,3.954802259887006
2016,2.5906735751295336,21.243523316062177,46.63212435233161,20.207253886010363,9.32642487046632
2017,3.1746031746031744,19.047619047619047,52.910052910052904,15.873015873015872,8.994708994708994
2018,0.5376344086021506,21.50537634408602,54.83870967741935,16.666666666666664,6.451612903225806
2019,4.651162790697675,19.767441860465116,47.674418604651166,20.348837209302324,7.55813953488372
2020,4.721030042918455,14.592274678111588,58.36909871244635,16.738197424892704,5.579399141630901
2021,5.327868852459016,19.262295081967213,47.13114754098361,19.262295081967213,9.01639344262295
2022,4.072398190045249,14.027149321266968,55.203619909502265,20.361990950226243,6.334841628959276
2023,2.2522522522522523,17.56756756756757,52.25225225225225,22.972972972972975,4.954954954954955
2024,3.571428571428571,8.928571428571429,53.57142857142857,27.67857142857143,6.25
2025,4.411764705882353,8.823529411764707,54.90196078431373,26.47058823529412,5.392156862745098
