Year,International,National,Unknown
2010,2.013422818791946,20.80536912751678,77.18120805369128
2011,4.666666666666667,22.666666666666664,72.66666666666667
2012,2.7027027027027026,18.91891891891892,78.37837837837837
2013,1.2738853503184715,14.012738853503185,84.71337579617835
2014,1.3245033112582782,17.218543046357617,81.45695364238411
2015,1.8072289156626504,17.46987951807229,80.72289156626506
2016,2.2857142857142856,14.857142857142858,82.85714285714286
2017,2.4096385542168677,21.084337349397593,76.50602409638554
2018,2.4096385542168677,15.66265060240964,81.92771084337349
2019,2.515723270440252,14.465408805031446,83.01886792452831
2020,1.4285714285714286,18.095238095238095,80.47619047619048
2021,2.1551724137931036,19.396551724137932,78.44827586206897
2022,0.9852216748768473,20.19704433497537,78.81773399014779
2023,2.857142857142857,19.047619047619047,78.0952380952381
2024,3.7735849056603774,18.39622641509434,77.83018867924528
2025,2.0408163265306123,21.93877551020408,76.0204081632653
